スキル系統,発動スキル,必要ポイント,カテゴリ,効果,アーティア対応
連撃,,5,防具スキル(火力),,
鎖刃刺撃,,5,防具スキル(火力),,
攻勢,,5,防具スキル(火力),,
挑戦者,,5,防具スキル(火力),,
災禍転福,,3,防具スキル(火力),,
破壊王,,3,防具スキル(火力),,
無我の境地,,3,防具スキル(火力),,
属性変換,,3,防具スキル(火力),,
属性吸収,,3,防具スキル(火力),,
急襲,,3,防具スキル(火力),,
研鑽,,1,防具スキル(火力),,
オトモへの采配,,5,防具スキル(火力),,
にぎりめし,,1,防具スキル(火力),,
防御,,7,防具スキル(防御・耐性),,
精霊の加護,,3,防具スキル(防御・耐性),,
火耐性,,3,防具スキル(防御・耐性),,
水耐性,,3,防具スキル(防御・耐性),,
雷耐性,,3,防具スキル(防御・耐性),,
氷耐性,,3,防具スキル(防御・耐性),,
龍耐性,,3,防具スキル(防御・耐性),,
属性やられ耐性,,3,防具スキル(防御・耐性),,
気絶耐性,,3,防具スキル(防御・耐性),,
毒耐性,,3,防具スキル(防御・耐性),,
麻痺耐性,,3,防具スキル(防御・耐性),,
睡眠耐性,,3,防具スキル(防御・耐性),,
爆破やられ耐性,,3,防具スキル(防御・耐性),,
悪臭耐性,,2,防具スキル(防御・耐性),,
拘束耐性,,3,防具スキル(防御・耐性),,
裂傷耐性,,3,防具スキル(防御・耐性),,
腹減り耐性,,3,防具スキル(防御・耐性),,
防御力ＤＯＷＮ耐性,,3,防具スキル(防御・耐性),,
環境適応,,2,防具スキル(防御・耐性),,
水場・油泥適応,,2,防具スキル(行動),,
耐震,,3,防具スキル(行動),,
耳栓,,3,防具スキル(行動),,
風圧耐性,,3,防具スキル(行動),,
ジャンプ鉄人,,1,防具スキル(行動),,
ひるみ軽減,,3,防具スキル(行動),,
緩衝,,1,防具スキル(行動),,
納刀術,,3,防具スキル(行動),,
飛び込み,,1,防具スキル(行動),,
威嚇,,3,防具スキル(行動),,
体術,,5,防具スキル(スタミナ),,
ランナー,,3,防具スキル(スタミナ),,
スタミナ急速回復,,3,防具スキル(スタミナ),,
クライマー,,1,防具スキル(スタミナ),,
体力回復量ＵＰ,,3,防具スキル(アイテム),,
回復速度,,3,防具スキル(アイテム),,
環境利用の知識,,3,防具スキル(アイテム),,
早食い,,3,防具スキル(アイテム),,
満足感,,3,防具スキル(アイテム),,
キノコ大好き,,3,防具スキル(アイテム),,
広域化,,5,防具スキル(アイテム),,
アイテム使用強化,,3,防具スキル(アイテム),,
閃光強化,,1,防具スキル(アイテム),,
ボマー,,3,防具スキル(アイテム),,
整備,,5,防具スキル(アイテム),,
回避性能,,5,防具スキル(回避),,
回避距離ＵＰ,,3,防具スキル(回避),,
植生学,,4,防具スキル(採集),,
地質学,,3,防具スキル(採集),,
昆虫標本の達人,,1,防具スキル(採集),,
ハンター生活,,1,防具スキル(採集),,
甲虫の知らせ,ハニーハンター,3,グループスキル,,1
甲虫の擬態,忍び歩き,3,グループスキル,,1
革細工の柔性,採集の達人,3,グループスキル,,1
革細工の滑性,滑走強化,3,グループスキル,,1
鱗張りの技法,乗り名人,3,グループスキル,,1
鱗重ねの工夫,奮起,3,グループスキル,,1
毛皮の昂揚,不屈,3,グループスキル,,1
毛皮の誘惑,陽動,3,グループスキル,,1
ヌシの誇り,激励,3,グループスキル,,1
ヌシの憤激,死中に活,3,グループスキル,,1
護竜の脈動,竜乳活性,3,グループスキル,,1
護竜の守り,竜都の護り,3,グループスキル,,1
先達の導き,探索者の幸運,3,グループスキル,,1
栄光の誉れ,幸運,3,グループスキル,,
ヌシの魂,根性【果敢】,3,グループスキル,,1
祝祭の巡り,剥ぎ取り名人,3,グループスキル,,
拳を極めし者,殺意の波動,3,グループスキル,,
闢獣の力,力自慢Ⅰ,2,シリーズスキル,,1
闢獣の力,力自慢Ⅱ,4,シリーズスキル,,1
火竜の力,灼熱化Ⅰ,2,シリーズスキル,,1
火竜の力,灼熱化Ⅱ,4,シリーズスキル,,1
兇爪竜の力,連撃強化Ⅰ,2,シリーズスキル,,1
兇爪竜の力,連撃強化Ⅱ,4,シリーズスキル,,1
雷顎竜の闘志,無尽蔵Ⅰ,2,シリーズスキル,,1
雷顎竜の闘志,無尽蔵Ⅱ,4,シリーズスキル,,1
雪獅子の闘志,ウォークライⅠ,2,シリーズスキル,,1
雪獅子の闘志,ウォークライⅡ,4,シリーズスキル,,1
鎧竜の守護,無傷の重装Ⅰ,2,シリーズスキル,,1
鎧竜の守護,無傷の重装Ⅱ,4,シリーズスキル,,1
暗器蛸の力,蛮勇の食卓Ⅰ,2,シリーズスキル,,1
暗器蛸の力,蛮勇の食卓Ⅱ,4,シリーズスキル,,1
煌雷竜の力,雷々響鳴Ⅰ,2,シリーズスキル,,1
煌雷竜の力,雷々響鳴Ⅱ,4,シリーズスキル,,1
波衣竜の守護,守護のヴェールⅠ,2,シリーズスキル,,1
波衣竜の守護,守護のヴェールⅡ,4,シリーズスキル,,1
獄焔蛸の反逆,恨撃Ⅰ,2,シリーズスキル,,1
獄焔蛸の反逆,恨撃Ⅱ,4,シリーズスキル,,1
凍峰竜の反逆,束縛反攻Ⅰ,2,シリーズスキル,,1
凍峰竜の反逆,束縛反攻Ⅱ,4,シリーズスキル,,1
黒蝕竜の力,黒蝕一体Ⅰ,2,シリーズスキル,,1
黒蝕竜の力,黒蝕一体Ⅱ,4,シリーズスキル,,1
鎖刃竜の飢餓,加速再生Ⅰ,2,シリーズスキル,,1
鎖刃竜の飢餓,加速再生Ⅱ,4,シリーズスキル,,1
護鎖刃竜の命脈,破壊衝動Ⅰ,2,シリーズスキル,,1
護鎖刃竜の命脈,破壊衝動Ⅱ,4,シリーズスキル,,1
泡狐竜の力,泡沫の舞Ⅰ,2,シリーズスキル,,1
泡狐竜の力,泡沫の舞Ⅱ,4,シリーズスキル,,1
白熾龍の脈動,超回復力Ⅰ,2,シリーズスキル,,1
白熾龍の脈動,超回復力Ⅱ,4,シリーズスキル,,1
海竜の渦雷,蒼雷一閃Ⅰ,2,シリーズスキル,,1
海竜の渦雷,蒼雷一閃Ⅱ,4,シリーズスキル,,1
千刃竜の闘志,千刃の身躱しⅠ,2,シリーズスキル,,1
千刃竜の闘志,千刃の身躱しⅡ,4,シリーズスキル,,1
暗黒騎士の証,ダークアーツ,2,シリーズスキル,,1
暗黒騎士の証,ブラックナイト,4,シリーズスキル,,1
オメガレゾナンス,レゾナンスⅠ,2,シリーズスキル,,1
オメガレゾナンス,レゾナンスⅡ,4,シリーズスキル,,1
巨戟龍の黙示録,宣戦呼応Ⅰ,2,シリーズスキル,,1
巨戟龍の黙示録,宣戦呼応Ⅱ,4,シリーズスキル,,1
花舞の祈り,地の恵み【花舞】Ⅰ,2,シリーズスキル,,
花舞の祈り,地の恵み【花舞】Ⅱ,4,シリーズスキル,,
踊火の祈り,地の恵み【踊火】Ⅰ,2,シリーズスキル,,
踊火の祈り,地の恵み【踊火】Ⅱ,4,シリーズスキル,,
夢灯の祈り,地の恵み【夢灯】Ⅰ,2,シリーズスキル,,
夢灯の祈り,地の恵み【夢灯】Ⅱ,4,シリーズスキル,,
祝謡の祈り,地の恵み【祝謡】Ⅰ,2,シリーズスキル,,
祝謡の祈り,地の恵み【祝謡】Ⅱ,4,シリーズスキル,,
