名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,ワンセット,仮番号
ランゴコイルα,5,1,0,0,0,32,,-2,1,1,1,2,甲虫の知らせ,1,麻痺耐性,1,回避性能,1,,,,,,,,,,,,,,,,,,410
ランゴコイルβ,5,1,1,1,0,32,,-2,1,1,1,2,甲虫の擬態,1,麻痺耐性,1,,,,,,,,,,,,,,,,,,,,420
クックコイルα,5,0,0,0,0,36,,3,0,-2,-4,2,鱗張りの技法,1,挑戦者,1,体力回復量ＵＰ,2,,,,,,,,,,,,,,,,,,470
クックコイルβ,5,1,0,0,0,36,,3,0,-2,-4,2,鱗重ねの工夫,1,挑戦者,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,480
チャタコイルα,5,1,0,0,0,36,,1,2,-3,-1,1,革細工の柔性,1,早食い,1,アイテム使用強化,1,,,,,,,,,,,,,,,,,,490
チャタコイルβ,5,1,1,0,0,36,,1,2,-3,-1,1,革細工の滑性,1,早食い,1,,,,,,,,,,,,,,,,,,,,500
ゲリョスコイルα,5,1,0,0,0,36,,-4,3,4,-1,1,革細工の柔性,1,スタミナ急速回復,1,逆恨み,1,,,,,,,,,,,,,,,,,,510
ゲリョスコイルβ,5,2,1,0,0,36,,-4,3,4,-1,1,革細工の滑性,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,,520
ボーンコイルα,5,1,1,0,0,32,,2,0,2,0,2,ランナー,1,,,,,,,,,,,,,,,,,,,,,,530
アロイコイルα,5,1,0,0,0,32,,-2,1,-2,-2,1,耐震,1,納刀術,1,,,,,,,,,,,,,,,,,,,,540
トリスコイルα,5,0,0,0,0,36,,2,-3,0,-1,0,鱗張りの技法,1,火耐性,1,力の解放,1,,,,,,,,,,,,,,,,,,550
トリスコイルβ,5,2,0,0,0,36,,2,-3,0,-1,0,鱗重ねの工夫,1,火耐性,2,,,,,,,,,,,,,,,,,,,,560
ラバラコイルα,5,2,0,0,0,36,,-3,3,0,0,3,甲虫の知らせ,1,麻痺耐性,2,,,,,,,,,,,,,,,,,,,,570
ラバラコイルβ,5,2,1,0,0,36,,-3,3,0,0,3,甲虫の擬態,1,麻痺耐性,1,,,,,,,,,,,,,,,,,,,,580
プポルコイルα,5,0,0,0,0,36,,0,-3,0,0,1,革細工の柔性,1,広域化,1,攻勢,1,,,,,,,,,,,,,,,,,,590
プポルコイルβ,5,1,0,0,0,36,,0,-3,0,0,1,革細工の滑性,1,攻勢,1,,,,,,,,,,,,,,,,,,,,600
コンガコイルα,5,1,0,0,0,36,,-3,1,1,-1,2,毛皮の昂揚,1,キノコ大好き,1,満足感,1,,,,,,,,,,,,,,,,,,610
コンガコイルβ,5,2,0,0,0,36,,-3,1,1,-1,2,毛皮の誘惑,1,キノコ大好き,1,,,,,,,,,,,,,,,,,,,,620
バーラコイルα,5,0,0,0,0,38,,-1,2,-3,1,1,鱗張りの技法,1,回避距離ＵＰ,1,回避性能,1,,,,,,,,,,,,,,,,,,630
バーラコイルβ,5,1,1,0,0,38,,-1,2,-3,1,1,鱗重ねの工夫,1,回避性能,1,,,,,,,,,,,,,,,,,,,,640
レイアコイルα,5,0,0,0,0,38,,2,0,-2,0,-3,鱗張りの技法,1,攻勢,1,整備,1,,,,,,,,,,,,,,,,,,650
レイアコイルβ,5,2,0,0,0,38,,2,0,-2,0,-3,鱗重ねの工夫,1,攻勢,1,,,,,,,,,,,,,,,,,,,,660
スキュラコイルα,5,0,0,0,0,38,,-2,2,-2,1,2,甲虫の知らせ,1,拘束耐性,1,睡眠耐性,2,,,,,,,,,,,,,,,,,,670
スキュラコイルβ,5,1,1,0,0,38,,-2,2,-2,1,2,甲虫の擬態,1,拘束耐性,1,,,,,,,,,,,,,,,,,,,,680
ヒラバミコイルα,5,0,0,0,0,38,,-3,2,-2,3,0,鱗張りの技法,1,回避性能,2,,,,,,,,,,,,,,,,,,,,690
ヒラバミコイルβ,5,2,0,0,0,38,,-3,2,-2,3,0,鱗重ねの工夫,1,回避性能,1,,,,,,,,,,,,,,,,,,,,700
ドシャグマコイルα,6,1,0,0,0,48,,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,力の解放,2,,,,,,,,,,,,,,,,,,710
ドシャグマコイルβ,6,2,2,0,0,48,,-3,2,-1,-1,4,毛皮の誘惑,1,闢獣の力,1,力の解放,1,,,,,,,,,,,,,,,,,,720
護雷顎竜コイルα,6,1,1,0,0,48,,-1,-1,2,-3,-2,護竜の脈動,1,雷顎竜の闘志,1,スタミナ急速回復,1,渾身,1,,,,,,,,,,,,,,,,730
護雷顎竜コイルβ,6,2,2,0,0,48,,-1,-1,2,-3,-2,護竜の守り,1,雷顎竜の闘志,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,740
インゴットコイルα,6,1,1,1,0,44,,-2,0,3,-1,0,精霊の加護,1,逆恨み,1,,,,,,,,,,,,,,,,,,,,750
護竜セクレトコイルα,6,1,0,0,0,44,,0,0,4,0,-3,護竜の脈動,1,ジャンプ鉄人,1,耳栓,2,,,,,,,,,,,,,,,,,,760
護竜セクレトコイルβ,6,2,1,0,0,44,,0,0,4,0,-3,護竜の守り,1,ジャンプ鉄人,1,耳栓,1,,,,,,,,,,,,,,,,,,770
アジャラコイルα,6,1,0,0,0,48,,3,-3,1,-2,0,毛皮の昂揚,1,破壊王,2,爆破やられ耐性,2,,,,,,,,,,,,,,,,,,780
アジャラコイルβ,6,2,0,0,0,48,,3,-3,1,-2,0,毛皮の誘惑,1,破壊王,2,爆破やられ耐性,1,,,,,,,,,,,,,,,,,,790
ブランゴコイルα,6,1,0,0,0,48,,-4,1,0,4,0,毛皮の昂揚,1,雪獅子の闘志,1,挑戦者,2,広域化,1,,,,,,,,,,,,,,,,800
ブランゴコイルβ,6,1,1,0,0,48,,-4,1,0,4,0,毛皮の誘惑,1,雪獅子の闘志,1,挑戦者,2,,,,,,,,,,,,,,,,,,810
護闢獣コイルα,6,2,0,0,0,48,,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,火事場力,2,腹減り耐性,1,,,,,,,,,,,,,,,,820
護闢獣コイルβ,6,2,1,0,0,48,,-3,2,-1,-2,2,護竜の守り,1,闢獣の力,1,火事場力,2,,,,,,,,,,,,,,,,,,830
護火竜コイルα,6,1,1,0,0,48,,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,風圧耐性,1,,,,,,,,,,,,,,,,840
護火竜コイルβ,6,2,2,1,0,48,,3,1,-2,1,-5,護竜の守り,1,火竜の力,1,風圧耐性,1,,,,,,,,,,,,,,,,,,850
グラビドコイルα,6,2,0,0,0,52,,4,-3,1,0,-2,鱗張りの技法,1,鎧竜の守護,1,フルチャージ,1,ひるみ軽減,2,,,,,,,,,,,,,,,,860
グラビドコイルβ,6,2,1,0,0,52,,4,-3,1,0,-2,鱗重ねの工夫,1,鎧竜の守護,1,フルチャージ,1,ひるみ軽減,1,,,,,,,,,,,,,,,,870
護兇爪竜コイルα,6,2,0,0,0,48,,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,連撃,1,裂傷耐性,1,,,,,,,,,,,,,,,,880
護兇爪竜コイルβ,6,2,1,0,0,48,,-2,-3,-2,-2,4,護竜の守り,1,兇爪竜の力,1,連撃,1,,,,,,,,,,,,,,,,,,890
レウスコイルα,6,0,0,0,0,48,,3,1,-2,1,-3,鱗張りの技法,1,火竜の力,1,巧撃,2,回避性能,1,,,,,,,,,,,,,,,,900
レウスコイルβ,6,2,0,0,0,48,,3,1,-2,1,-3,鱗重ねの工夫,1,火竜の力,1,巧撃,2,,,,,,,,,,,,,,,,,,910
シーウーコイルα,6,2,0,0,0,48,,1,1,1,-3,2,革細工の柔性,1,暗器蛸の力,1,耳栓,1,火事場力,2,,,,,,,,,,,,,,,,920
シーウーコイルβ,6,2,1,1,0,48,,1,1,1,-3,2,革細工の滑性,1,暗器蛸の力,1,耳栓,1,火事場力,1,,,,,,,,,,,,,,,,930
ドーベルコイルα,7,3,1,0,0,56,,-2,0,-1,-1,4,体術,1,ランナー,2,,,,,,,,,,,,,,,,,,,,940
ダマスクコイルα,7,3,2,0,0,56,,4,-2,0,0,0,広域化,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,950
ダハディラコイルα,7,1,1,0,0,60,,-3,2,-1,2,-1,ヌシの誇り,1,凍峰竜の反逆,1,弱点特効,1,耐震,2,,,,,,,,,,,,,,,,960
ダハディラコイルβ,7,1,1,1,0,60,,-3,2,-1,2,-1,ヌシの憤激,1,凍峰竜の反逆,1,弱点特効,1,耐震,1,,,,,,,,,,,,,,,,970
レダゼルトコイルα,7,2,0,0,0,60,,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,スタミナ急速回復,2,気絶耐性,2,,,,,,,,,,,,,,,,980
レダゼルトコイルβ,7,3,1,0,0,60,,0,-2,4,-3,0,ヌシの憤激,1,煌雷竜の力,1,スタミナ急速回復,1,気絶耐性,2,,,,,,,,,,,,,,,,990
トゥナムルコイルα,7,2,1,0,0,60,,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,フルチャージ,2,水場・油泥適応,1,,,,,,,,,,,,,,,,1000
トゥナムルコイルβ,7,3,1,0,0,60,,-1,4,-3,0,0,ヌシの憤激,1,波衣竜の守護,1,フルチャージ,2,,,,,,,,,,,,,,,,,,1010
エグゾルスコイルα,7,2,0,0,0,60,,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,逆恨み,2,早食い,1,,,,,,,,,,,,,,,,1020
エグゾルスコイルβ,7,3,0,0,0,60,,5,-4,0,1,0,ヌシの憤激,1,獄焔蛸の反逆,1,逆恨み,2,,,,,,,,,,,,,,,,,,1030
ゴアコイルα,7,3,1,0,0,60,,-2,3,-1,2,-1,鱗張りの技法,1,黒蝕竜の力,1,体術,2,無我の境地,1,,,,,,,,,,,,,,,,1040
ゴアコイルβ,7,3,2,0,0,60,,-2,3,-1,2,-1,鱗重ねの工夫,1,黒蝕竜の力,1,体術,2,,,,,,,,,,,,,,,,,,1050
調査団コイルα,6,1,0,0,0,44,,2,2,0,0,0,挑戦者,1,整備,1,,,,,,,,,,,,,,,,,,,,1060
クナファベルトα,6,2,0,0,0,44,,1,1,4,1,1,先達の導き,1,早食い,2,オトモへの采配,1,,,,,,,,,,,,,,,,,,1070
スージャの腰帯α,6,2,1,1,0,44,,1,1,1,4,1,先達の導き,1,精霊の加護,3,,,,,,,,,,,,,,,,,,,,1090
デスギアナーベルα,6,2,1,0,0,44,,3,2,-2,3,4,先達の導き,1,逆恨み,1,威嚇,2,,,,,,,,,,,,,,,,,,1110
パピメルアンカα,6,2,0,0,0,44,,-1,-1,2,0,2,先達の導き,1,体術,1,回避性能,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,1120
オウビートアンカα,6,2,0,0,0,44,,-1,-1,2,0,2,先達の導き,1,火事場力,1,鎖刃刺撃,1,麻痺耐性,1,,,,,,,,,,,,,,,,1130
ハイメタコイルα,6,2,0,0,0,44,,0,-1,-2,3,0,先達の導き,1,ボマー,3,水場・油泥適応,2,,,,,,,,,,,,,,,,,,1140
バトルコイルα,6,2,0,0,0,44,,2,-1,-1,0,0,先達の導き,1,アイテム使用強化,3,拘束耐性,2,,,,,,,,,,,,,,,,,,1150
メルホアオッハα,6,2,0,0,0,44,,0,1,3,0,0,先達の導き,1,体力回復量ＵＰ,3,裂傷耐性,2,,,,,,,,,,,,,,,,,,1160
アーティアコイルα,6,2,0,0,0,44,,1,-2,-2,2,3,護竜の守り,1,鎖刃刺撃,1,風圧耐性,2,,,,,,,,,,,,,,,,,,1170
ギルドエースコイルα,8,3,0,0,0,60,,2,2,2,2,2,フルチャージ,1,攻勢,1,体術,1,,,,,,,,,,,,,,,,,,1180
シュバルカコイルα,8,1,0,0,0,66,,2,0,-1,0,-3,毛皮の昂揚,1,鎖刃竜の飢餓,1,弱点特効,2,回復速度,2,,,,,,,,,,,,,,,,1190
シュバルカコイルβ,8,1,1,0,0,66,,2,0,-1,0,-3,毛皮の誘惑,1,鎖刃竜の飢餓,1,弱点特効,2,回復速度,1,,,,,,,,,,,,,,,,1200
護鎖刃竜コイルα,8,0,0,0,0,66,,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,鎖刃刺撃,2,属性吸収,1,,,,,,,,,,,,,,,,1210
護鎖刃竜コイルβ,8,2,1,0,0,66,,2,0,-1,0,-4,護竜の守り,1,護鎖刃竜の命脈,1,鎖刃刺撃,2,,,,,,,,,,,,,,,,,,1220
ミツネコイルα,6,2,1,0,0,48,,0,2,-3,1,-1,毛皮の昂揚,1,泡狐竜の力,1,体術,2,連撃,1,,,,,,,,,,,,,,,,1240
ミツネコイルβ,6,3,2,1,0,48,,0,2,-3,1,-1,毛皮の誘惑,1,泡狐竜の力,1,体術,2,,,,,,,,,,,,,,,,,,1250
無垢ナル龍帯α,8,0,0,0,0,68,,-2,2,2,0,-4,護竜の脈動,1,白熾龍の脈動,1,挑戦者,2,災禍転福,2,,,,,,,,,,,,,,,,1260
無垢ナル龍帯β,8,2,0,0,0,68,,-2,2,2,0,-4,護竜の守り,1,白熾龍の脈動,1,挑戦者,2,災禍転福,1,,,,,,,,,,,,,,,,1270
ギルドクロスコイルα,5,2,0,0,0,36,,0,0,0,0,0,栄光の誉れ,1,耳栓,1,風圧耐性,2,,,,,,,,,,,,,,,,,,1290
クリークベルトα,6,1,0,0,0,48,,2,2,2,2,2,栄光の誉れ,1,整備,2,体力回復量ＵＰ,2,,,,,,,,,,,,,,,,,,1300
レダゼルトコイルγ,8,0,0,0,0,68,,0,-2,4,-3,0,煌雷竜の力,1,ヌシの魂,1,力の解放,2,渾身,2,,,,,,,,,,,,,,,,1390
桜波【帯】α,5,2,1,0,0,36,,2,2,-3,2,2,花舞の祈り,1,祝祭の巡り,1,納刀術,2,環境適応,1,,,,,,,,,,,,,,,,1400
ブロッサムコートα,5,2,2,0,0,36,,1,1,4,1,1,祝祭の巡り,1,昆虫標本の達人,1,回復速度,1,,,,,,,,,,,,,,,,,,1410
鬼の腰巻α,6,3,1,0,0,48,,3,-2,0,-2,3,拳を極めし者,1,回避性能,2,,,,,,,,,,,,,,,,,,,1,1420
ラギアコイルα,7,2,1,1,0,64,,-3,2,4,-1,-2,海竜の渦雷,1,弱点特効,1,渾身,1,水場・油泥適応,1,,,,,,,,,,,,,,,,1440
ラギアコイルβ,7,2,2,1,0,64,,-3,2,4,-1,-2,海竜の渦雷,1,弱点特効,1,渾身,1,,,,,,,,,,,,,,,,,,1450
レギオスコイルα,7,2,0,0,0,64,,4,0,-3,-2,0,千刃竜の闘志,1,回避性能,2,挑戦者,1,裂傷耐性,1,,,,,,,,,,,,,,,,1460
レギオスコイルβ,7,3,1,1,0,64,,4,0,-3,-2,0,千刃竜の闘志,1,挑戦者,1,回避性能,1,,,,,,,,,,,,,,,,,,1470
トゥナムルコイルγ,8,3,3,0,0,68,,-1,4,-3,0,0,波衣竜の守護,1,ヌシの魂,1,整備,2,,,,,,,,,,,,,,,,,,1490
アーフィウエストα,5,0,0,0,0,36,,2,-3,2,2,2,踊火の祈り,1,祝祭の巡り,1,連撃,1,爆破やられ耐性,2,火耐性,1,,,,,,,,,,,,,,1500
ダイバーベルトα,5,1,1,1,0,36,,1,4,1,1,1,祝祭の巡り,1,水場・油泥適応,1,腹減り耐性,1,,,,,,,,,,,,,,,,,,1510
ベイルフランチャードα,8,3,2,1,0,68,,2,0,-2,0,3,暗黒騎士の証,1,体術,2,逆恨み,1,,,,,,,,,,,,,,,,,,1570
オメガアクセサリーα,8,3,2,0,0,68,,3,0,-3,2,-2,オメガレゾナンス,1,連撃,1,精霊の加護,1,,,,,,,,,,,,,,,,,,1580
エグゾルスコイルγ,8,2,0,0,0,68,,5,-4,0,1,0,獄焔蛸の反逆,1,ヌシの魂,1,連撃,2,急襲,1,,,,,,,,,,,,,,,,1590
ゴストゥラコイルα,5,0,0,0,0,36,,-3,2,2,2,2,夢灯の祈り,1,祝祭の巡り,1,鎖刃刺撃,1,急襲,2,,,,,,,,,,,,,,,,1600
ハーベストオッハα,5,1,1,0,0,36,,4,1,1,1,1,祝祭の巡り,1,体術,1,満足感,1,植生学,1,,,,,,,,,,,,,,,,1610
ゴグコイルα,8,2,1,1,0,68,,-4,3,0,3,-5,巨戟龍の黙示録,1,兇爪竜の力,1,連撃,2,フルチャージ,1,,,,,,,,,,,,,,,,1660
ゴグコイルβ,8,2,1,1,0,68,,-4,3,0,3,-5,巨戟龍の黙示録,1,泡狐竜の力,1,連撃,2,フルチャージ,1,,,,,,,,,,,,,,,,1670
セレモニアルコイルα,5,1,1,0,0,36,,2,2,2,-3,2,祝謡の祈り,1,祝祭の巡り,1,属性変換,1,精霊の加護,1,龍耐性,1,,,,,,,,,,,,,,1680
オリオンコートα,8,2,2,2,0,66,,1,1,1,4,1,祝祭の巡り,1,耳栓,1,クライマー,1,,,,,,,,,,,,,,,,,,1690
祝福の腰飾りα,8,3,0,0,0,66,,2,2,0,-2,3,体術,4,精霊の加護,3,,,,,,,,,,,,,,,,,,,,1700
ダハディラコイルγ,8,1,0,0,0,68,,-3,2,-1,2,-1,凍峰竜の反逆,1,ヌシの魂,1,挑戦者,3,拘束耐性,2,,,,,,,,,,,,,,,,1730
クイーンコイルα,8,0,0,0,0,66,,4,1,1,1,3,黒蝕竜の力,1,栄光の誉れ,1,連撃,2,回避距離ＵＰ,2,,,,,,,,,,,,,,,,1750
シュバルカコイルγ,8,2,2,1,0,68,,2,0,-1,0,-3,鎖刃竜の飢餓,1,ヌシの魂,1,属性吸収,3,鎖刃刺撃,1,,,,,,,,,,,,,,,,1760
フルドレスコートα,8,3,1,0,0,66,,1,1,1,1,4,祝祭の巡り,1,フルチャージ,2,災禍転福,1,,,,,,,,,,,,,,,,,,1770
蒼世ノ侍【帯】α,8,2,1,0,0,66,,2,4,0,0,3,海竜の渦雷,1,毛皮の昂揚,1,力の解放,1,巧撃,1,納刀術,2,,,,,,,,,,,,,,1790
