名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,ワンセット,仮番号
ドシャグマグリーヴ,2,0,0,0,0,16,,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,満足感,1,,,,,,,,,,,,,,,,,,150
インゴットグリーヴ,3,0,0,0,0,16,,-2,0,3,-1,0,風圧耐性,1,,,,,,,,,,,,,,,,,,,,,,160
プポルグリーヴ,3,0,0,0,0,18,,0,-3,0,0,1,革細工の柔性,1,広域化,1,,,,,,,,,,,,,,,,,,,,180
スキュラグリーヴ,3,0,0,0,0,20,,-2,2,-2,1,2,甲虫の知らせ,1,急襲,1,,,,,,,,,,,,,,,,,,,,200
ヒラバミグリーヴ,3,0,0,0,0,22,,-3,2,-2,3,0,鱗張りの技法,1,回避性能,1,氷耐性,1,,,,,,,,,,,,,,,,,,210
アジャラグリーヴ,3,0,0,0,0,24,,3,-3,1,-2,0,毛皮の昂揚,1,破壊王,1,爆破やられ耐性,1,,,,,,,,,,,,,,,,,,220
トゥナムルグリーヴ,4,0,0,0,0,26,,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,フルチャージ,1,,,,,,,,,,,,,,,,,,230
レダゼルトグリーヴ,4,0,0,0,0,26,,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,力の解放,1,体術,1,,,,,,,,,,,,,,,,240
エグゾルスグリーヴ,4,1,0,0,0,26,,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,早食い,1,,,,,,,,,,,,,,,,,,250
護闢獣グリーヴ,4,0,0,0,0,26,,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,ランナー,1,防御力ＤＯＷＮ耐性,1,,,,,,,,,,,,,,,,270
護火竜グリーヴ,4,1,0,0,0,26,,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,,,,,,,,,,,,,,,,,,280
護兇爪竜グリーヴ,4,1,0,0,0,26,,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,裂傷耐性,1,,,,,,,,,,,,,,,,,,290
シーウーグリーヴ,4,1,0,0,0,26,,1,1,1,-3,2,革細工の柔性,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,,300
護鎖刃竜グリーヴ,4,1,0,0,0,30,,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,属性やられ耐性,1,,,,,,,,,,,,,,,,,,310
ホープグリーヴα,5,1,0,0,0,26,,1,0,1,0,0,気絶耐性,2,,,,,,,,,,,,,,,,,,,,,,320
レザーパンツα,5,1,0,0,0,26,,2,0,0,0,0,腹減り耐性,1,アイテム使用強化,1,,,,,,,,,,,,,,,,,,,,330
チェーンパンツα,5,1,1,0,0,26,,0,2,0,0,0,回復速度,1,,,,,,,,,,,,,,,,,,,,,,340
ピラギルグリーヴα,5,0,0,0,0,32,,-3,4,-3,1,1,革細工の柔性,1,水場・油泥適応,1,水耐性,2,,,,,,,,,,,,,,,,,,390
ピラギルグリーヴβ,5,2,0,0,0,32,,-3,4,-3,1,1,革細工の滑性,1,水場・油泥適応,1,,,,,,,,,,,,,,,,,,,,400
ランゴグリーヴα,5,1,1,0,0,32,,-2,1,1,1,2,甲虫の知らせ,1,環境利用の知識,1,麻痺耐性,1,,,,,,,,,,,,,,,,,,410
ランゴグリーヴβ,5,2,1,0,0,32,,-2,1,1,1,2,甲虫の擬態,1,環境利用の知識,1,,,,,,,,,,,,,,,,,,,,420
クックグリーヴα,5,2,0,0,0,36,,3,0,-2,-4,2,鱗張りの技法,1,体術,2,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,470
クックグリーヴβ,5,2,1,0,0,36,,3,0,-2,-4,2,鱗重ねの工夫,1,体術,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,480
チャタグリーヴα,5,0,0,0,0,36,,1,2,-3,-1,1,革細工の柔性,1,アイテム使用強化,1,弱点特効,1,,,,,,,,,,,,,,,,,,490
チャタグリーヴβ,5,1,0,0,0,36,,1,2,-3,-1,1,革細工の滑性,1,弱点特効,1,,,,,,,,,,,,,,,,,,,,500
ゲリョスグリーヴα,5,0,0,0,0,36,,-4,3,4,-1,1,革細工の柔性,1,逆恨み,1,ランナー,2,,,,,,,,,,,,,,,,,,510
ゲリョスグリーヴβ,5,1,0,0,0,36,,-4,3,4,-1,1,革細工の滑性,1,逆恨み,1,ランナー,1,,,,,,,,,,,,,,,,,,520
ボーングリーヴα,5,1,1,0,0,32,,2,0,2,0,2,気絶耐性,1,,,,,,,,,,,,,,,,,,,,,,530
アロイグリーヴα,5,1,0,0,0,32,,-2,1,-2,-2,1,納刀術,1,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,,540
トリスグリーヴα,5,1,0,0,0,36,,2,-3,0,-1,0,鱗張りの技法,1,ひるみ軽減,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,550
トリスグリーヴβ,5,1,1,1,0,36,,2,-3,0,-1,0,鱗重ねの工夫,1,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,,560
ラバラグリーヴα,5,0,0,0,0,36,,-3,3,0,0,3,甲虫の知らせ,1,回避性能,1,攻勢,1,,,,,,,,,,,,,,,,,,570
ラバラグリーヴβ,5,1,1,1,0,36,,-3,3,0,0,3,甲虫の擬態,1,回避性能,1,,,,,,,,,,,,,,,,,,,,580
プポルグリーヴα,5,0,0,0,0,36,,0,-3,0,0,1,革細工の柔性,1,広域化,2,耳栓,1,,,,,,,,,,,,,,,,,,590
プポルグリーヴβ,5,2,0,0,0,36,,0,-3,0,0,1,革細工の滑性,1,広域化,2,,,,,,,,,,,,,,,,,,,,600
コンガグリーヴα,5,0,0,0,0,36,,-3,1,1,-1,2,毛皮の昂揚,1,キノコ大好き,1,連撃,1,,,,,,,,,,,,,,,,,,610
コンガグリーヴβ,5,2,0,0,0,36,,-3,1,1,-1,2,毛皮の誘惑,1,連撃,1,,,,,,,,,,,,,,,,,,,,620
バーラグリーヴα,5,1,1,0,0,38,,-1,2,-3,1,1,鱗張りの技法,1,回避距離ＵＰ,1,地質学,1,,,,,,,,,,,,,,,,,,630
バーラグリーヴβ,5,1,1,1,0,38,,-1,2,-3,1,1,鱗重ねの工夫,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,,640
レイアグリーヴα,5,0,0,0,0,38,,2,0,-2,0,-3,鱗張りの技法,1,攻勢,1,回復速度,2,,,,,,,,,,,,,,,,,,650
レイアグリーヴβ,5,1,0,0,0,38,,2,0,-2,0,-3,鱗重ねの工夫,1,攻勢,1,回復速度,1,,,,,,,,,,,,,,,,,,660
スキュラグリーヴα,5,1,0,0,0,38,,-2,2,-2,1,2,甲虫の知らせ,1,急襲,1,睡眠耐性,1,,,,,,,,,,,,,,,,,,670
スキュラグリーヴβ,5,2,1,0,0,38,,-2,2,-2,1,2,甲虫の擬態,1,睡眠耐性,1,,,,,,,,,,,,,,,,,,,,680
ヒラバミグリーヴα,5,1,0,0,0,38,,-3,2,-2,3,0,鱗張りの技法,1,氷耐性,1,フルチャージ,1,,,,,,,,,,,,,,,,,,690
ヒラバミグリーヴβ,5,2,0,0,0,38,,-3,2,-2,3,0,鱗重ねの工夫,1,フルチャージ,1,,,,,,,,,,,,,,,,,,,,700
ドシャグマグリーヴα,6,2,1,0,0,48,,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,満足感,1,体力回復量ＵＰ,2,,,,,,,,,,,,,,,,710
ドシャグマグリーヴβ,6,2,1,1,0,48,,-3,2,-1,-1,4,毛皮の誘惑,1,闢獣の力,1,満足感,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,720
護雷顎竜グリーヴα,6,1,0,0,0,48,,-1,-1,2,-3,-2,護竜の脈動,1,雷顎竜の闘志,1,災禍転福,1,スタミナ急速回復,2,,,,,,,,,,,,,,,,730
護雷顎竜グリーヴβ,6,2,1,0,0,48,,-1,-1,2,-3,-2,護竜の守り,1,雷顎竜の闘志,1,災禍転福,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,740
インゴットグリーヴα,6,2,0,0,0,44,,-2,0,3,-1,0,風圧耐性,1,逆恨み,1,,,,,,,,,,,,,,,,,,,,750
アジャラグリーヴα,6,0,0,0,0,48,,3,-3,1,-2,0,毛皮の昂揚,1,破壊王,2,逆恨み,1,,,,,,,,,,,,,,,,,,780
アジャラグリーヴβ,6,1,1,0,0,48,,3,-3,1,-2,0,毛皮の誘惑,1,破壊王,2,,,,,,,,,,,,,,,,,,,,790
ブランゴグリーヴα,6,1,1,0,0,48,,-4,1,0,4,0,毛皮の昂揚,1,雪獅子の闘志,1,挑戦者,1,逆襲,1,,,,,,,,,,,,,,,,800
ブランゴグリーヴβ,6,2,2,0,0,48,,-4,1,0,4,0,毛皮の誘惑,1,雪獅子の闘志,1,挑戦者,1,,,,,,,,,,,,,,,,,,810
護闢獣グリーヴα,6,2,0,0,0,48,,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,火事場力,1,体術,2,,,,,,,,,,,,,,,,820
護闢獣グリーヴβ,6,2,1,0,0,48,,-3,2,-1,-2,2,護竜の守り,1,闢獣の力,1,火事場力,1,体術,1,,,,,,,,,,,,,,,,830
護火竜グリーヴα,6,1,0,0,0,48,,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,風圧耐性,2,,,,,,,,,,,,,,,,840
護火竜グリーヴβ,6,2,0,0,0,48,,3,1,-2,1,-5,護竜の守り,1,火竜の力,1,弱点特効,1,風圧耐性,1,,,,,,,,,,,,,,,,850
グラビドグリーヴα,6,2,1,0,0,52,,4,-3,1,0,-2,鱗張りの技法,1,鎧竜の守護,1,耐震,2,回復速度,1,,,,,,,,,,,,,,,,860
グラビドグリーヴβ,6,2,2,0,0,52,,4,-3,1,0,-2,鱗重ねの工夫,1,鎧竜の守護,1,耐震,1,回復速度,1,,,,,,,,,,,,,,,,870
護兇爪竜グリーヴα,6,2,0,0,0,48,,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,耳栓,1,精霊の加護,2,,,,,,,,,,,,,,,,880
護兇爪竜グリーヴβ,6,2,1,0,0,48,,-2,-3,-2,-2,4,護竜の守り,1,兇爪竜の力,1,耳栓,1,精霊の加護,1,,,,,,,,,,,,,,,,890
レウスグリーヴα,6,2,0,0,0,48,,3,1,-2,1,-3,鱗張りの技法,1,火竜の力,1,回避性能,2,巧撃,1,,,,,,,,,,,,,,,,900
レウスグリーヴβ,6,2,2,1,0,48,,3,1,-2,1,-3,鱗重ねの工夫,1,火竜の力,1,回避性能,2,,,,,,,,,,,,,,,,,,910
シーウーグリーヴα,6,2,1,0,0,48,,1,1,1,-3,2,革細工の柔性,1,暗器蛸の力,1,巧撃,1,急襲,1,,,,,,,,,,,,,,,,920
シーウーグリーヴβ,6,2,2,1,0,48,,1,1,1,-3,2,革細工の滑性,1,暗器蛸の力,1,巧撃,1,,,,,,,,,,,,,,,,,,930
ガライーブーツα,6,1,1,1,0,44,,0,5,0,0,0,革細工の柔性,1,水耐性,1,ハンター生活,1,,,,,,,,,,,,,,,,,,935
ドーベルグリーヴα,7,2,2,0,0,56,,-2,0,-1,-1,4,体術,1,キノコ大好き,2,,,,,,,,,,,,,,,,,,,,940
ダマスクグリーヴα,7,3,0,0,0,56,,4,-2,0,0,0,広域化,1,アイテム使用強化,2,,,,,,,,,,,,,,,,,,,,950
ダハディラグリーヴα,7,1,0,0,0,60,,-3,2,-1,2,-1,ヌシの誇り,1,凍峰竜の反逆,1,挑戦者,2,耐震,1,,,,,,,,,,,,,,,,960
ダハディラグリーヴβ,7,2,0,0,0,60,,-3,2,-1,2,-1,ヌシの憤激,1,凍峰竜の反逆,1,挑戦者,2,,,,,,,,,,,,,,,,,,970
レダゼルトグリーヴα,7,3,0,0,0,60,,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,力の解放,1,渾身,1,,,,,,,,,,,,,,,,980
レダゼルトグリーヴβ,7,3,1,1,0,60,,0,-2,4,-3,0,ヌシの憤激,1,煌雷竜の力,1,力の解放,1,,,,,,,,,,,,,,,,,,990
トゥナムルグリーヴα,7,3,0,0,0,60,,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,フルチャージ,1,整備,1,,,,,,,,,,,,,,,,1000
トゥナムルグリーヴβ,7,3,1,1,0,60,,-1,4,-3,0,0,ヌシの憤激,1,波衣竜の守護,1,フルチャージ,1,,,,,,,,,,,,,,,,,,1010
エグゾルスグリーヴα,7,3,0,0,0,60,,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,連撃,1,風圧耐性,2,,,,,,,,,,,,,,,,1020
エグゾルスグリーヴβ,7,3,1,0,0,60,,5,-4,0,1,0,ヌシの憤激,1,獄焔蛸の反逆,1,連撃,1,風圧耐性,1,,,,,,,,,,,,,,,,1030
ゴアグリーヴα,7,3,1,0,0,60,,-2,3,-1,2,-1,鱗張りの技法,1,黒蝕竜の力,1,無我の境地,1,ひるみ軽減,2,,,,,,,,,,,,,,,,1040
ゴアグリーヴβ,7,3,1,1,0,60,,-2,3,-1,2,-1,鱗重ねの工夫,1,黒蝕竜の力,1,無我の境地,1,ひるみ軽減,1,,,,,,,,,,,,,,,,1050
調査団グリーヴα,6,1,0,0,0,44,,2,2,0,0,0,挑戦者,1,耳栓,1,,,,,,,,,,,,,,,,,,,,1060
クナファチャプスα,6,2,0,0,0,44,,1,1,4,1,1,先達の導き,1,広域化,1,オトモへの采配,1,,,,,,,,,,,,,,,,,,1070
アズズパンツα,6,2,1,1,0,44,,4,1,1,1,1,先達の導き,1,地質学,3,,,,,,,,,,,,,,,,,,,,1080
デスギアフェルゼα,6,2,1,0,0,44,,3,2,-2,3,4,先達の導き,1,逆恨み,1,気絶耐性,2,,,,,,,,,,,,,,,,,,1110
パピメルガンバα,6,2,0,0,0,44,,-1,-1,2,0,2,先達の導き,1,体術,1,回避性能,1,体力回復量ＵＰ,2,,,,,,,,,,,,,,,,1120
オウビートガンバα,6,2,0,0,0,44,,-1,-1,2,0,2,先達の導き,1,火事場力,1,鎖刃刺撃,1,毒耐性,1,,,,,,,,,,,,,,,,1130
ハイメタグリーヴα,6,2,0,0,0,44,,0,-1,-2,3,0,先達の導き,1,ひるみ軽減,3,裂傷耐性,3,,,,,,,,,,,,,,,,,,1140
バトルグリーヴα,6,2,0,0,0,44,,2,-1,-1,0,0,先達の導き,1,ランナー,3,体術,2,,,,,,,,,,,,,,,,,,1150
メルホアライースα,6,2,0,0,0,44,,0,1,3,0,0,先達の導き,1,キノコ大好き,3,,,,,,,,,,,,,,,,,,,,1160
アーティアグリーヴα,6,2,0,0,0,44,,1,-2,-2,2,3,護竜の守り,1,鎖刃刺撃,1,耐震,2,,,,,,,,,,,,,,,,,,1170
ギルドエースブーツα,8,3,0,0,0,60,,2,2,2,2,2,フルチャージ,1,攻勢,1,体術,1,,,,,,,,,,,,,,,,,,1180
シュバルカグリーヴα,8,2,1,0,0,66,,2,0,-1,0,-3,毛皮の昂揚,1,鎖刃竜の飢餓,1,属性変換,1,納刀術,2,,,,,,,,,,,,,,,,1190
シュバルカグリーヴβ,8,3,1,0,0,66,,2,0,-1,0,-3,毛皮の誘惑,1,鎖刃竜の飢餓,1,属性変換,1,納刀術,1,,,,,,,,,,,,,,,,1200
護鎖刃竜グリーヴα,8,0,0,0,0,66,,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,属性吸収,2,弱点特効,1,,,,,,,,,,,,,,,,1210
護鎖刃竜グリーヴβ,8,2,1,0,0,66,,2,0,-1,0,-4,護竜の守り,1,護鎖刃竜の命脈,1,属性吸収,1,弱点特効,1,,,,,,,,,,,,,,,,1220
ミツネグリーヴα,6,1,0,0,0,48,,0,2,-3,1,-1,毛皮の昂揚,1,泡狐竜の力,1,連撃,2,フルチャージ,1,,,,,,,,,,,,,,,,1240
ミツネグリーヴβ,6,3,0,0,0,48,,0,2,-3,1,-1,毛皮の誘惑,1,泡狐竜の力,1,連撃,2,,,,,,,,,,,,,,,,,,1250
無垢ナル龍靴α,8,2,1,0,0,68,,-2,2,2,0,-4,護竜の脈動,1,白熾龍の脈動,1,逆襲,2,回復速度,1,属性吸収,1,,,,,,,,,,,,,,1260
無垢ナル龍靴β,8,3,2,0,0,68,,-2,2,2,0,-4,護竜の守り,1,白熾龍の脈動,1,逆襲,1,回復速度,1,属性吸収,1,,,,,,,,,,,,,,1270
ギルドクロスブーツα,5,2,2,0,0,36,,0,0,0,0,0,栄光の誉れ,1,耐震,1,風圧耐性,1,,,,,,,,,,,,,,,,,,1290
クリークシューズα,6,2,2,0,0,48,,2,2,2,2,2,栄光の誉れ,1,整備,1,オトモへの采配,2,,,,,,,,,,,,,,,,,,1300
レダゼルトグリーヴγ,8,3,0,0,0,68,,0,-2,4,-3,0,煌雷竜の力,1,ヌシの魂,1,スタミナ急速回復,2,気絶耐性,3,,,,,,,,,,,,,,,,1390
桜波【袴】α,5,2,0,0,0,36,,2,2,-3,2,2,花舞の祈り,1,祝祭の巡り,1,攻勢,1,アイテム使用強化,2,,,,,,,,,,,,,,,,1400
ブロッサムブーツα,5,1,1,0,0,36,,1,1,4,1,1,祝祭の巡り,1,毒耐性,1,回復速度,2,,,,,,,,,,,,,,,,,,1410
鬼の下穿α,6,2,2,1,0,48,,3,-2,0,-2,3,拳を極めし者,1,破壊王,1,,,,,,,,,,,,,,,,,,,1,1420
ラギアグリーヴα,7,0,0,0,0,64,,-3,2,4,-1,-2,海竜の渦雷,1,弱点特効,2,力の解放,1,雷耐性,1,,,,,,,,,,,,,,,,1440
ラギアグリーヴβ,7,1,0,0,0,64,,-3,2,4,-1,-2,海竜の渦雷,1,弱点特効,2,力の解放,1,,,,,,,,,,,,,,,,,,1450
レギオスグリーヴα,7,0,0,0,0,64,,4,0,-3,-2,0,千刃竜の闘志,1,巧撃,2,挑戦者,1,裂傷耐性,1,,,,,,,,,,,,,,,,1460
レギオスグリーヴβ,7,1,0,0,0,64,,4,0,-3,-2,0,千刃竜の闘志,1,巧撃,2,挑戦者,1,,,,,,,,,,,,,,,,,,1470
トゥナムルグリーヴγ,8,3,1,1,0,68,,-1,4,-3,0,0,波衣竜の守護,1,ヌシの魂,1,納刀術,3,挑戦者,1,,,,,,,,,,,,,,,,1490
アーフィフットα,5,1,1,0,0,36,,2,-3,2,2,2,踊火の祈り,1,祝祭の巡り,1,連撃,1,ボマー,1,爆破やられ耐性,1,,,,,,,,,,,,,,1500
ダイバーフットα,5,2,1,0,0,36,,1,4,1,1,1,祝祭の巡り,1,水場・油泥適応,1,ランナー,1,,,,,,,,,,,,,,,,,,1510
ベイルソルレットα,8,2,0,0,0,68,,2,0,-2,0,3,暗黒騎士の証,1,力の解放,2,逆恨み,1,,,,,,,,,,,,,,,,,,1570
オメガレッグα,8,3,2,0,0,68,,3,0,-3,2,-2,オメガレゾナンス,1,回避性能,2,,,,,,,,,,,,,,,,,,,,1580
エグゾルスグリーヴγ,8,2,0,0,0,68,,5,-4,0,1,0,獄焔蛸の反逆,1,ヌシの魂,1,逆恨み,2,逆襲,1,早食い,3,,,,,,,,,,,,,,1590
ゴストゥラグリーヴα,5,1,1,0,0,36,,-3,2,2,2,2,夢灯の祈り,1,祝祭の巡り,1,鎖刃刺撃,1,広域化,2,,,,,,,,,,,,,,,,1600
ハーベストライースα,5,2,0,0,0,36,,4,1,1,1,1,祝祭の巡り,1,体術,2,植生学,2,,,,,,,,,,,,,,,,,,1610
ゴググリーヴα,8,3,2,1,0,68,,-4,3,0,3,-5,巨戟龍の黙示録,1,闢獣の力,1,フルチャージ,2,挑戦者,1,,,,,,,,,,,,,,,,1660
ゴググリーヴβ,8,3,2,1,0,68,,-4,3,0,3,-5,巨戟龍の黙示録,1,鎧竜の守護,1,フルチャージ,2,挑戦者,1,,,,,,,,,,,,,,,,1670
セレモニアルグリーヴα,5,2,0,0,0,36,,2,2,2,-3,2,祝謡の祈り,1,祝祭の巡り,1,挑戦者,1,整備,1,,,,,,,,,,,,,,,,1680
オリオンブーツα,8,2,1,1,0,66,,1,1,1,4,1,祝祭の巡り,1,耳栓,2,ひるみ軽減,1,,,,,,,,,,,,,,,,,,1690
ダハディラグリーヴγ,8,2,0,0,0,68,,-3,2,-1,2,-1,凍峰竜の反逆,1,ヌシの魂,1,弱点特効,2,攻勢,1,,,,,,,,,,,,,,,,1730
クイーンブーツα,8,3,2,0,0,66,,4,1,1,1,3,黒蝕竜の力,1,栄光の誉れ,1,スタミナ急速回復,1,破壊王,1,,,,,,,,,,,,,,,,1750
シュバルカグリーヴγ,8,3,3,0,0,68,,2,0,-1,0,-3,鎖刃竜の飢餓,1,ヌシの魂,1,鎖刃刺撃,2,属性やられ耐性,2,,,,,,,,,,,,,,,,1760
フルドレスブーツα,8,3,2,1,0,66,,1,1,1,1,4,祝祭の巡り,1,フルチャージ,1,渾身,1,,,,,,,,,,,,,,,,,,1770
蒼世ノ侍【履物】α,8,2,1,0,0,66,,2,4,0,0,3,海竜の渦雷,1,毛皮の昂揚,1,力の解放,1,巧撃,1,体術,2,,,,,,,,,,,,,,1790
