名前,レア度,入手時期,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,仮番号
加護の護石Ⅲ,0,0,精霊の加護,3,,,,,,,,,,,,,,,,,,,,,
治癒の護石Ⅰ,0,0,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,,
治癒の護石Ⅱ,0,0,体力回復量ＵＰ,2,,,,,,,,,,,,,,,,,,,,,
治癒の護石Ⅲ,0,0,体力回復量ＵＰ,3,,,,,,,,,,,,,,,,,,,,,
早復の護石Ⅰ,0,0,回復速度,1,,,,,,,,,,,,,,,,,,,,,
早復の護石Ⅱ,0,0,回復速度,2,,,,,,,,,,,,,,,,,,,,,
早復の護石Ⅲ,0,0,回復速度,3,,,,,,,,,,,,,,,,,,,,,
早食の護石Ⅰ,0,0,早食い,1,,,,,,,,,,,,,,,,,,,,,
早食の護石Ⅱ,0,0,早食い,2,,,,,,,,,,,,,,,,,,,,,
早食の護石Ⅲ,0,0,早食い,3,,,,,,,,,,,,,,,,,,,,,
耳栓の護石Ⅰ,0,0,耳栓,1,,,,,,,,,,,,,,,,,,,,,
耳栓の護石Ⅱ,0,0,耳栓,2,,,,,,,,,,,,,,,,,,,,,
防風の護石Ⅰ,0,0,風圧耐性,1,,,,,,,,,,,,,,,,,,,,,
防風の護石Ⅱ,0,0,風圧耐性,2,,,,,,,,,,,,,,,,,,,,,
防風の護石Ⅲ,0,0,風圧耐性,3,,,,,,,,,,,,,,,,,,,,,
耐震の護石Ⅰ,0,0,耐震,1,,,,,,,,,,,,,,,,,,,,,
耐震の護石Ⅱ,0,0,耐震,2,,,,,,,,,,,,,,,,,,,,,
耐震の護石Ⅲ,0,0,耐震,3,,,,,,,,,,,,,,,,,,,,,
回避の護石Ⅰ,0,0,回避性能,1,,,,,,,,,,,,,,,,,,,,,
回避の護石Ⅱ,0,0,回避性能,2,,,,,,,,,,,,,,,,,,,,,
回避の護石Ⅲ,0,0,回避性能,3,,,,,,,,,,,,,,,,,,,,,
回避の護石Ⅳ,0,0,回避性能,4,,,,,,,,,,,,,,,,,,,,,
跳躍の護石Ⅰ,0,0,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,,,
跳躍の護石Ⅱ,0,0,回避距離ＵＰ,2,,,,,,,,,,,,,,,,,,,,,
跳躍の護石Ⅲ,0,0,回避距離ＵＰ,3,,,,,,,,,,,,,,,,,,,,,
耐火の護石Ⅰ,0,0,火耐性,1,,,,,,,,,,,,,,,,,,,,,
耐火の護石Ⅱ,0,0,火耐性,2,,,,,,,,,,,,,,,,,,,,,
耐火の護石Ⅲ,0,0,火耐性,3,,,,,,,,,,,,,,,,,,,,,
耐水の護石Ⅰ,0,0,水耐性,1,,,,,,,,,,,,,,,,,,,,,
耐水の護石Ⅱ,0,0,水耐性,2,,,,,,,,,,,,,,,,,,,,,
耐水の護石Ⅲ,0,0,水耐性,3,,,,,,,,,,,,,,,,,,,,,
耐雷の護石Ⅰ,0,0,雷耐性,1,,,,,,,,,,,,,,,,,,,,,
耐雷の護石Ⅱ,0,0,雷耐性,2,,,,,,,,,,,,,,,,,,,,,
耐雷の護石Ⅲ,0,0,雷耐性,3,,,,,,,,,,,,,,,,,,,,,
耐氷の護石Ⅰ,0,0,氷耐性,1,,,,,,,,,,,,,,,,,,,,,
耐氷の護石Ⅱ,0,0,氷耐性,2,,,,,,,,,,,,,,,,,,,,,
耐氷の護石Ⅲ,0,0,氷耐性,3,,,,,,,,,,,,,,,,,,,,,
耐龍の護石Ⅰ,0,0,龍耐性,1,,,,,,,,,,,,,,,,,,,,,
耐龍の護石Ⅱ,0,0,龍耐性,2,,,,,,,,,,,,,,,,,,,,,
耐龍の護石Ⅲ,0,0,龍耐性,3,,,,,,,,,,,,,,,,,,,,,
耐属の護石Ⅰ,0,0,属性やられ耐性,1,,,,,,,,,,,,,,,,,,,,,
耐属の護石Ⅱ,0,0,属性やられ耐性,2,,,,,,,,,,,,,,,,,,,,,
耐属の護石Ⅲ,0,0,属性やられ耐性,3,,,,,,,,,,,,,,,,,,,,,
耐毒の護石Ⅰ,0,0,毒耐性,1,,,,,,,,,,,,,,,,,,,,,
耐毒の護石Ⅱ,0,0,毒耐性,2,,,,,,,,,,,,,,,,,,,,,
耐毒の護石Ⅲ,0,0,毒耐性,3,,,,,,,,,,,,,,,,,,,,,
耐麻の護石Ⅰ,0,0,麻痺耐性,1,,,,,,,,,,,,,,,,,,,,,
耐麻の護石Ⅱ,0,0,麻痺耐性,2,,,,,,,,,,,,,,,,,,,,,
耐麻の護石Ⅲ,0,0,麻痺耐性,3,,,,,,,,,,,,,,,,,,,,,
耐眠の護石Ⅰ,0,0,睡眠耐性,1,,,,,,,,,,,,,,,,,,,,,
耐眠の護石Ⅱ,0,0,睡眠耐性,2,,,,,,,,,,,,,,,,,,,,,
耐眠の護石Ⅲ,0,0,睡眠耐性,3,,,,,,,,,,,,,,,,,,,,,
耐絶の護石Ⅰ,0,0,気絶耐性,1,,,,,,,,,,,,,,,,,,,,,
耐絶の護石Ⅱ,0,0,気絶耐性,2,,,,,,,,,,,,,,,,,,,,,
耐絶の護石Ⅲ,0,0,気絶耐性,3,,,,,,,,,,,,,,,,,,,,,
耐爆の護石Ⅰ,0,0,爆破やられ耐性,1,,,,,,,,,,,,,,,,,,,,,
耐爆の護石Ⅱ,0,0,爆破やられ耐性,2,,,,,,,,,,,,,,,,,,,,,
耐爆の護石Ⅲ,0,0,爆破やられ耐性,3,,,,,,,,,,,,,,,,,,,,,
植学の護石Ⅰ,0,0,植生学,1,,,,,,,,,,,,,,,,,,,,,
植学の護石Ⅱ,0,0,植生学,2,,,,,,,,,,,,,,,,,,,,,
植学の護石Ⅲ,0,0,植生学,3,,,,,,,,,,,,,,,,,,,,,
植学の護石Ⅳ,0,0,植生学,4,,,,,,,,,,,,,,,,,,,,,
地学の護石Ⅰ,0,0,地質学,1,,,,,,,,,,,,,,,,,,,,,
地学の護石Ⅱ,0,0,地質学,2,,,,,,,,,,,,,,,,,,,,,
地学の護石Ⅲ,0,0,地質学,3,,,,,,,,,,,,,,,,,,,,,
重撃の護石Ⅰ,0,0,破壊王,1,,,,,,,,,,,,,,,,,,,,,
重撃の護石Ⅱ,0,0,破壊王,2,,,,,,,,,,,,,,,,,,,,,
重撃の護石Ⅲ,0,0,破壊王,3,,,,,,,,,,,,,,,,,,,,,
爆師の護石Ⅰ,0,0,ボマー,1,,,,,,,,,,,,,,,,,,,,,
爆師の護石Ⅱ,0,0,ボマー,2,,,,,,,,,,,,,,,,,,,,,
爆師の護石Ⅲ,0,0,ボマー,3,,,,,,,,,,,,,,,,,,,,,
茸好の護石Ⅰ,0,0,キノコ大好き,1,,,,,,,,,,,,,,,,,,,,,
茸好の護石Ⅱ,0,0,キノコ大好き,2,,,,,,,,,,,,,,,,,,,,,
茸好の護石Ⅲ,0,0,キノコ大好き,3,,,,,,,,,,,,,,,,,,,,,
持続の護石Ⅰ,0,0,アイテム使用強化,1,,,,,,,,,,,,,,,,,,,,,
持続の護石Ⅱ,0,0,アイテム使用強化,2,,,,,,,,,,,,,,,,,,,,,
持続の護石Ⅲ,0,0,アイテム使用強化,3,,,,,,,,,,,,,,,,,,,,,
友愛の護石Ⅰ,0,0,広域化,1,,,,,,,,,,,,,,,,,,,,,
友愛の護石Ⅱ,0,0,広域化,2,,,,,,,,,,,,,,,,,,,,,
友愛の護石Ⅲ,0,0,広域化,3,,,,,,,,,,,,,,,,,,,,,
友愛の護石Ⅳ,0,0,広域化,4,,,,,,,,,,,,,,,,,,,,,
友愛の護石Ⅴ,0,0,広域化,5,,,,,,,,,,,,,,,,,,,,,
小食の護石Ⅰ,0,0,満足感,1,,,,,,,,,,,,,,,,,,,,,
小食の護石Ⅱ,0,0,満足感,2,,,,,,,,,,,,,,,,,,,,,
小食の護石Ⅲ,0,0,満足感,3,,,,,,,,,,,,,,,,,,,,,
底力の護石Ⅰ,0,0,火事場力,1,,,,,,,,,,,,,,,,,,,,,
底力の護石Ⅱ,0,0,火事場力,2,,,,,,,,,,,,,,,,,,,,,
底力の護石Ⅲ,0,0,火事場力,3,,,,,,,,,,,,,,,,,,,,,
底力の護石Ⅳ,0,0,火事場力,4,,,,,,,,,,,,,,,,,,,,,
耐衝の護石Ⅰ,0,0,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,,,
耐衝の護石Ⅱ,0,0,ひるみ軽減,2,,,,,,,,,,,,,,,,,,,,,
耐衝の護石Ⅲ,0,0,ひるみ軽減,3,,,,,,,,,,,,,,,,,,,,,
無食の護石Ⅰ,0,0,腹減り耐性,1,,,,,,,,,,,,,,,,,,,,,
無食の護石Ⅱ,0,0,腹減り耐性,2,,,,,,,,,,,,,,,,,,,,,
無食の護石Ⅲ,0,0,腹減り耐性,3,,,,,,,,,,,,,,,,,,,,,
逆襲の護石Ⅰ,0,0,逆襲,1,,,,,,,,,,,,,,,,,,,,,
逆襲の護石Ⅱ,0,0,逆襲,2,,,,,,,,,,,,,,,,,,,,,
逆襲の護石Ⅲ,0,0,逆襲,3,,,,,,,,,,,,,,,,,,,,,
攻勢の護石Ⅰ,0,0,攻勢,1,,,,,,,,,,,,,,,,,,,,,
攻勢の護石Ⅱ,0,0,攻勢,2,,,,,,,,,,,,,,,,,,,,,
攻勢の護石Ⅲ,0,0,攻勢,3,,,,,,,,,,,,,,,,,,,,,
転福の護石Ⅰ,0,0,災禍転福,1,,,,,,,,,,,,,,,,,,,,,
転福の護石Ⅱ,0,0,災禍転福,2,,,,,,,,,,,,,,,,,,,,,
転福の護石Ⅲ,0,0,災禍転福,3,,,,,,,,,,,,,,,,,,,,,
連撃の護石Ⅰ,0,0,連撃,1,,,,,,,,,,,,,,,,,,,,,
連撃の護石Ⅱ,0,0,連撃,2,,,,,,,,,,,,,,,,,,,,,
連撃の護石Ⅲ,0,0,連撃,3,,,,,,,,,,,,,,,,,,,,,
反攻の護石Ⅰ,0,0,巧撃,1,,,,,,,,,,,,,,,,,,,,,
反攻の護石Ⅱ,0,0,巧撃,2,,,,,,,,,,,,,,,,,,,,,
反攻の護石Ⅲ,0,0,巧撃,3,,,,,,,,,,,,,,,,,,,,,
急襲の護石Ⅰ,0,0,急襲,1,,,,,,,,,,,,,,,,,,,,,
急襲の護石Ⅱ,0,0,急襲,2,,,,,,,,,,,,,,,,,,,,,
急襲の護石Ⅲ,0,0,急襲,3,,,,,,,,,,,,,,,,,,,,,
耐裂の護石Ⅰ,0,0,裂傷耐性,1,,,,,,,,,,,,,,,,,,,,,
耐裂の護石Ⅱ,0,0,裂傷耐性,2,,,,,,,,,,,,,,,,,,,,,
耐裂の護石Ⅲ,0,0,裂傷耐性,3,,,,,,,,,,,,,,,,,,,,,
耐防の護石Ⅰ,0,0,防御力ＤＯＷＮ耐性,1,,,,,,,,,,,,,,,,,,,,,
耐防の護石Ⅱ,0,0,防御力ＤＯＷＮ耐性,2,,,,,,,,,,,,,,,,,,,,,
耐防の護石Ⅲ,0,0,防御力ＤＯＷＮ耐性,3,,,,,,,,,,,,,,,,,,,,,
環境の護石Ⅰ,0,0,環境利用の知識,1,,,,,,,,,,,,,,,,,,,,,
環境の護石Ⅱ,0,0,環境利用の知識,2,,,,,,,,,,,,,,,,,,,,,
環境の護石Ⅲ,0,0,環境利用の知識,3,,,,,,,,,,,,,,,,,,,,,
整備の護石Ⅰ,0,0,整備,1,,,,,,,,,,,,,,,,,,,,,
整備の護石Ⅱ,0,0,整備,2,,,,,,,,,,,,,,,,,,,,,
整備の護石Ⅲ,0,0,整備,3,,,,,,,,,,,,,,,,,,,,,
整備の護石Ⅳ,0,0,整備,4,,,,,,,,,,,,,,,,,,,,,
威嚇の護石Ⅰ,0,0,威嚇,1,,,,,,,,,,,,,,,,,,,,,
威嚇の護石Ⅱ,0,0,威嚇,2,,,,,,,,,,,,,,,,,,,,,
威嚇の護石Ⅲ,0,0,威嚇,3,,,,,,,,,,,,,,,,,,,,,
耐拘の護石Ⅰ,0,0,拘束耐性,1,,,,,,,,,,,,,,,,,,,,,
耐拘の護石Ⅱ,0,0,拘束耐性,2,,,,,,,,,,,,,,,,,,,,,
耐拘の護石Ⅲ,0,0,拘束耐性,3,,,,,,,,,,,,,,,,,,,,,
鎖刃の護石Ⅰ,0,0,鎖刃刺撃,1,,,,,,,,,,,,,,,,,,,,,
鎖刃の護石Ⅱ,0,0,鎖刃刺撃,2,,,,,,,,,,,,,,,,,,,,,
鎖刃の護石Ⅲ,0,0,鎖刃刺撃,3,,,,,,,,,,,,,,,,,,,,,
属吸の護石Ⅰ,0,0,属性吸収,1,,,,,,,,,,,,,,,,,,,,,
属吸の護石Ⅱ,0,0,属性吸収,2,,,,,,,,,,,,,,,,,,,,,
属変の護石Ⅰ,0,0,属性変換,1,,,,,,,,,,,,,,,,,,,,,
属変の護石Ⅱ,0,0,属性変換,2,,,,,,,,,,,,,,,,,,,,,
抗狂の護石Ⅰ,0,0,無我の境地,1,,,,,,,,,,,,,,,,,,,,,
抗狂の護石Ⅱ,0,0,無我の境地,2,,,,,,,,,,,,,,,,,,,,,
抗狂の護石Ⅲ,0,0,無我の境地,3,,,,,,,,,,,,,,,,,,,,,
希望の護石,0,0,研鑽,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,
